Coefficient	a number that goes before a given variable (ex: 5 in 5x)
Equation	a expression with an equal sign and the solution (ex: 5x+7=17)
Equivalent	an expression or number that is equal to another
Expression	an equation without an equal sign (ex: 5x+7)
Solution	an answer to an expression (ex: 15 in 9+3x=15)
Simplify	To find the solution to an expression
Variable	A number that can change that is a letter(ex: x in 4x+3)
No Solution	there is not a solution
All Solutions	Having all possible solutions to an expression
Infinite Solutions (∞)	Having an amount of solutions that is greater than any assignable quanity/ or number that is countable/
